id,name,cpf,email,phone,cep,street,number,neighborhood,city,state,complement,status,broker_id,notes,created_at,updated_at,properties_id,origin,scheduling
0a447c69-3a16-428f-ab71-39ffacf99591,leonardo,,leonardo@email.com,456541524,,,,,,,,Atendimento,8f1ed025-6500-4356-90fe-f0782920a3d5,queron uma muito engraçada,2025-05-08 08:54:17.206017+00,2025-05-12 00:36:08.752705+00,,Indicação,Aguardando
1f573bb2-11d5-4dd3-8761-29f5d151ed31,teste casa,0,casa@gmail.com,19982316964,,,,,,,,Atendimento,6cc4fd3b-535a-410d-a0ef-1278d9a2774d,quero a casa teste,2025-05-10 04:25:06.662243+00,2025-05-12 00:41:42.574278+00,,Site,Realizado
357f7541-8a78-4f07-a071-40a42492df6d,pabullo,961.306.120-79,pabullod@gmail.com,1998111111,13402614,Rua Copo de Leite,22,Jardim Planalto,Piracicaba,SP,,Novo,8f1ed025-6500-4356-90fe-f0782920a3d5,,2025-05-07 05:28:04.113645+00,2025-05-12 03:50:17.203267+00,,,Aguardando
4cf2a19d-255d-46e4-a008-a3db8b927e41,Jennifer19982316964,11111111111,jennifer@gmail.com,19982316964,,,,,,,,Atendimento,3a805162-5c46-4087-a5a4-075585af3eec,19982316964,2025-05-07 22:22:01.064771+00,2025-05-12 00:36:14.462495+00,,Lista fria,Nao_Realizado
7c245bd2-241d-4b1d-8167-6e7ed4116faf,fff,fffff,ffff@gmail.com,wwafawf,,,,,,,,Atendimento,3a805162-5c46-4087-a5a4-075585af3eec,,2025-05-07 06:28:45.343137+00,2025-05-12 00:36:11.262466+00,,,Aguardando
88ce174c-f84c-4d99-bd9c-23b1bd622f0b,joao,,joao@email.com,65465435,,,,,,,,pending,,24354,2025-05-09 00:00:31.694333+00,2025-05-12 03:50:20.612506+00,,,Aguardando
89d190f2-de8a-4236-848d-2ac0db4adc4f,teste da silva,,silva@email.com,19982316964,,,,,,,,pending,,teste,2025-05-07 22:14:01.808878+00,2025-05-12 03:50:19.894558+00,,,Aguardando
a5a115e3-d9bd-4a68-8674-1985c0ac12a5,Ricardo Vendramini Cassimiro,,carlos.silva@exemplo.com,19982316964,,,,,,,,pending,,a,2025-05-08 21:47:00.074497+00,2025-05-12 03:50:21.212871+00,,,Aguardando
b2bae530-2080-41c7-a894-c45b42782199,tedste,,56.54.4@gmail.com,21564654,,,,,,,,Atendimento,6cc4fd3b-535a-410d-a0ef-1278d9a2774d,5465464,2025-05-10 04:29:08.551008+00,2025-05-12 00:47:10.794125+00,,,Aguardando
e1c97534-8a5e-496a-8de0-ba6bddb9450e,teste,074.484.680-30,teste@email.com,19982316964,13403026,Rua Rafael Marques Coutinho,457,Jaraguá,Piracicaba,SP,nenhum,Novo,3a805162-5c46-4087-a5a4-075585af3eec,nada a comentar,2025-05-07 05:09:23.697754+00,2025-05-12 03:50:22.729324+00,,Marketplace,Aguardando
fa1d0125-48c8-42e4-9467-3c84d6244c33,pabullo,48816581824,pabullo@gmail.com,196487514523,13403026,Rua Rafael Marques Coutinho,457,Jaraguá,Piracicaba,SP,,Novo,3a805162-5c46-4087-a5a4-075585af3eec,,2025-05-07 02:33:37.267733+00,2025-05-12 03:50:24.094239+00,,,Aguardando
